Sample in Buffer,Sample in Window,TRIGGER,us_sensor_0_i/after_echo_count_ff[31:0],object_det_OBUF
329,329,0,000505af,0
330,330,0,000505b0,0
331,331,0,000505b1,0
332,332,0,000505b2,0
333,333,0,000505b3,0
334,334,0,000505b4,0
335,335,0,000505b5,0
336,336,0,000505b6,0
337,337,0,000505b7,0
338,338,0,000505b8,0
339,339,0,000505b9,0
340,340,0,000505ba,0
341,341,0,000505bb,0
342,342,0,000505bc,0
343,343,0,000505bd,0
344,344,0,000505be,0
345,345,0,000505bf,0
346,346,0,000505c0,0
347,347,0,000505c1,0
348,348,0,000505c2,0
349,349,0,000505c3,0
350,350,0,000505c4,0
351,351,0,000505c5,0
352,352,0,000505c6,0
353,353,0,000505c7,0
354,354,0,000505c8,0
355,355,0,000505c9,0
356,356,0,000505ca,0
357,357,0,000505cb,0
358,358,0,000505cc,0
359,359,0,000505cd,0
360,360,0,000505ce,0
361,361,0,000505cf,0
362,362,0,000505d0,0
363,363,0,000505d1,0
364,364,0,000505d2,0
365,365,0,000505d3,0
366,366,0,000505d4,0
367,367,0,000505d5,0
368,368,0,000505d6,0
369,369,0,000505d7,0
370,370,0,000505d8,0
371,371,0,000505d9,0
372,372,0,000505da,0
373,373,0,000505db,0
374,374,0,000505dc,0
375,375,0,000505dd,0
376,376,0,000505de,0
377,377,0,000505df,0
378,378,0,000505e0,0
379,379,0,000505e1,0
380,380,0,000505e2,0
381,381,0,000505e3,0
382,382,0,000505e4,0
383,383,0,000505e5,0
384,384,0,000505e6,0
385,385,0,000505e7,0
386,386,0,000505e8,0
387,387,0,000505e9,0
388,388,0,000505ea,0
389,389,0,000505eb,0
390,390,0,000505ec,0
391,391,0,000505ed,0
392,392,0,000505ee,0
393,393,0,000505ef,0
394,394,0,000505f0,0
395,395,0,000505f1,0
396,396,0,000505f2,0
397,397,0,000505f3,0
398,398,0,000505f4,0
399,399,0,000505f5,0
400,400,0,000505f6,0
401,401,0,000505f7,0
402,402,0,000505f8,0
403,403,0,000505f9,0
404,404,0,000505fa,0
405,405,0,000505fb,0
406,406,0,000505fc,0
407,407,0,000505fd,0
408,408,0,000505fe,0
409,409,0,000505ff,0
410,410,0,00050600,0
411,411,0,00050601,0
412,412,0,00050602,0
413,413,0,00050603,0
414,414,0,00050604,0
415,415,0,00050605,0
416,416,0,00050606,0
417,417,0,00050607,0
418,418,0,00050608,0
419,419,0,00050609,0
420,420,0,0005060a,0
421,421,0,0005060b,0
422,422,0,0005060c,0
423,423,0,0005060d,0
424,424,0,0005060e,0
425,425,0,0005060f,0
426,426,0,00050610,0
427,427,0,00050611,0
428,428,0,00050612,0
429,429,0,00050613,0
430,430,0,00050614,0
431,431,0,00050615,0
432,432,0,00050616,0
433,433,0,00050617,0
434,434,0,00050618,0
435,435,0,00050619,0
436,436,0,0005061a,0
437,437,0,0005061b,0
438,438,0,0005061c,0
439,439,0,0005061d,0
440,440,0,0005061e,0
441,441,0,0005061f,0
442,442,0,00050620,0
443,443,0,00050621,0
444,444,0,00050622,0
445,445,0,00050623,0
446,446,0,00050624,0
447,447,0,00050625,0
448,448,0,00050626,0
449,449,0,00050627,0
450,450,0,00050628,0
451,451,0,00050629,0
452,452,0,0005062a,0
453,453,0,0005062b,0
454,454,0,0005062c,0
455,455,0,0005062d,0
456,456,0,0005062e,0
457,457,0,0005062f,0
458,458,0,00050630,0
459,459,0,00050631,0
460,460,0,00050632,0
461,461,0,00050633,0
462,462,0,00050634,0
463,463,0,00050635,0
464,464,0,00050636,0
465,465,0,00050637,0
466,466,0,00050638,0
467,467,0,00050639,0
468,468,0,0005063a,0
469,469,0,0005063b,0
470,470,0,0005063c,0
471,471,0,0005063d,0
472,472,0,0005063e,0
473,473,0,0005063f,0
474,474,0,00050640,0
475,475,0,00050641,0
476,476,0,00050642,0
477,477,0,00050643,0
478,478,0,00050644,0
479,479,0,00050645,0
480,480,0,00050646,0
481,481,0,00050647,0
482,482,0,00050648,0
483,483,0,00050649,0
484,484,0,0005064a,0
485,485,0,0005064b,0
486,486,0,0005064c,0
487,487,0,0005064d,0
488,488,0,0005064e,0
489,489,0,0005064f,0
490,490,0,00050650,0
491,491,0,00050651,0
492,492,0,00050652,0
493,493,0,00050653,0
494,494,0,00050654,0
495,495,0,00050655,0
496,496,0,00050656,0
497,497,0,00050657,0
498,498,0,00050658,0
499,499,0,00050659,0
500,500,0,0005065a,0
501,501,0,0005065b,0
502,502,0,0005065c,0
503,503,0,0005065d,0
504,504,0,0005065e,0
505,505,0,0005065f,0
506,506,0,00050660,0
507,507,0,00050661,0
508,508,0,00050662,0
509,509,0,00050663,0
510,510,0,00050664,0
511,511,0,00050665,0
512,512,0,00050666,0
513,513,0,00050667,0
514,514,0,00050668,0
515,515,0,00050669,0
516,516,0,0005066a,0
517,517,0,0005066b,0
518,518,0,0005066c,0
519,519,0,0005066d,0
520,520,0,0005066e,0
521,521,0,0005066f,0
522,522,0,00050670,0
523,523,0,00050671,0
524,524,0,00050672,0
525,525,0,00050673,0
526,526,0,00050674,0
527,527,0,00050675,0
528,528,0,00050676,0
529,529,0,00050677,0
530,530,0,00050678,0
531,531,0,00050679,0
532,532,0,0005067a,0
533,533,0,0005067b,0
534,534,0,0005067c,0
535,535,0,0005067d,0
536,536,0,0005067e,0
537,537,0,0005067f,0
538,538,0,00050680,0
539,539,0,00050681,0
540,540,0,00050682,0
541,541,0,00050683,0
542,542,0,00050684,0
543,543,0,00050685,0
544,544,0,00050686,0
545,545,0,00050687,0
546,546,0,00050688,0
547,547,0,00050689,0
548,548,0,0005068a,0
549,549,0,0005068b,0
550,550,0,0005068c,0
551,551,0,0005068d,0
552,552,0,0005068e,0
553,553,0,0005068f,0
554,554,0,00050690,0
555,555,0,00050691,0
556,556,0,00050692,0
557,557,0,00050693,0
558,558,0,00050694,0
559,559,0,00050695,0
560,560,0,00050696,0
561,561,0,00050697,0
562,562,0,00050698,0
563,563,0,00050699,0
564,564,0,0005069a,0
565,565,0,0005069b,0
566,566,0,0005069c,0
567,567,0,0005069d,0
568,568,0,0005069e,0
569,569,0,0005069f,0
570,570,0,000506a0,0
